Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,Month
Utah Jazz,7,2,5,0.286,49.4,114.4,40.0,90.4,44.2,16.0,43.3,37.0,18.4,22.3,82.7,11.1,32.3,43.4,25.6,16.4,7.1,4.3,5.0,23.4,22.6,-3.9,August
Washington Wizards,7,1,6,0.143,48.0,103.9,38.0,90.3,42.1,9.7,29.4,33.0,18.1,23.3,77.9,11.4,34.7,46.1,23.1,14.6,6.9,4.9,5.3,23.3,20.3,-9.1,August
Boston Celtics,4,4,0,1.0,48.0,112.3,39.0,86.3,45.2,12.3,35.0,35.0,22.0,27.0,81.5,9.8,33.5,43.3,19.0,10.5,6.8,5.5,4.5,24.3,22.3,11.8,Playoffs
Brooklyn Nets,4,0,4,0.0,48.0,105.8,36.3,91.3,39.7,15.5,46.0,33.7,17.8,24.5,72.4,9.3,35.0,44.3,25.8,14.5,5.0,4.5,5.5,21.3,22.5,-20.5,Playoffs
Dallas Mavericks,5,2,3,0.4,49.0,121.0,43.0,89.0,48.3,14.0,37.6,37.2,21.0,28.4,73.9,7.6,35.8,43.4,21.8,12.8,6.8,3.8,3.6,24.0,25.2,-8.8,Playoffs
Denver Nuggets,5,2,3,0.4,49.0,114.2,42.2,89.8,47.0,16.0,37.0,43.2,13.8,16.2,85.2,11.8,29.2,41.0,22.4,11.4,3.8,4.8,3.2,21.4,19.8,-7.6,Playoffs
Houston Rockets,4,2,2,0.5,49.3,113.8,40.0,90.8,44.1,19.3,54.0,35.6,14.5,17.5,82.9,6.8,34.0,40.8,21.3,11.0,7.0,3.0,3.3,23.8,19.0,3.3,Playoffs
Indiana Pacers,4,0,4,0.0,48.0,100.8,36.5,80.3,45.5,12.0,32.0,37.5,15.8,20.3,77.8,5.8,30.8,36.5,22.5,15.3,9.3,5.5,4.3,23.3,15.8,-10.5,Playoffs
LA Clippers,5,3,2,0.6,49.0,129.8,45.4,90.0,50.4,14.6,35.8,40.8,24.4,30.4,80.3,8.8,36.4,45.2,21.0,11.8,7.0,3.6,3.8,25.2,24.0,8.8,Playoffs
Los Angeles Lakers,4,3,1,0.75,48.0,113.8,41.5,88.5,46.9,11.5,34.8,33.1,19.3,28.5,67.5,13.8,36.5,50.3,25.8,14.3,8.3,6.0,4.3,23.5,24.3,11.0,Playoffs
Miami Heat,4,4,0,1.0,48.0,111.3,37.5,80.8,46.4,13.0,33.3,39.1,23.3,29.8,78.2,9.3,36.3,45.5,24.0,14.3,8.8,4.3,5.5,15.8,23.3,10.5,Playoffs
Milwaukee Bucks,4,3,1,0.75,48.0,115.8,43.0,88.0,48.9,15.8,40.3,39.1,14.0,20.5,68.3,8.3,40.8,49.0,27.5,17.0,7.5,3.8,3.5,21.0,20.5,8.0,Playoffs
Oklahoma City Thunder,4,2,2,0.5,49.3,110.5,38.8,85.3,45.5,12.3,35.0,35.0,20.8,26.5,78.3,7.8,40.8,48.5,18.3,15.0,4.5,3.3,3.0,19.0,23.8,-3.3,Playoffs
Orlando Magic,4,1,3,0.25,48.0,107.8,37.3,87.3,42.7,15.0,39.5,38.0,18.3,21.0,86.9,6.3,35.8,42.0,24.3,15.5,7.8,3.5,3.8,20.5,21.0,-8.0,Playoffs
Philadelphia 76ers,4,0,4,0.0,48.0,100.5,33.3,84.0,39.6,8.0,30.3,26.4,26.0,32.0,81.3,12.3,33.8,46.0,17.5,12.0,5.0,4.5,5.5,22.3,24.3,-11.8,Playoffs
Portland Trail Blazers,4,1,3,0.25,48.0,102.8,36.0,87.0,41.4,11.3,31.5,35.7,19.5,24.8,78.8,9.8,33.0,42.8,17.3,15.3,6.3,4.3,6.0,24.3,23.5,-11.0,Playoffs
Toronto Raptors,4,4,0,1.0,48.0,126.3,45.0,91.0,49.5,17.8,41.0,43.3,18.5,23.5,78.7,9.3,41.8,51.0,30.5,12.0,7.0,5.5,4.5,22.5,21.3,20.5,Playoffs
Utah Jazz,5,3,2,0.6,49.0,121.8,43.0,83.8,51.3,16.8,38.2,44.0,19.0,23.6,80.5,10.0,32.0,42.0,22.8,12.0,5.8,3.2,4.8,19.8,21.4,7.6,Playoffs
Philadelphia 76ers,4,4,0,1.0,48.0,111.5,39.8,88.0,45.2,10.0,32.3,31.0,22.0,29.8,73.9,11.5,39.8,51.3,25.0,20.8,11.5,6.8,4.5,29.0,25.8,11.0,October
